,trial,stayBarOn,foragingTime,choiceMade,rewarded,rewardSize,trialErrors,timeToFixate,minFixTimeToStart,holdFixTime,timeToChoose,ITI,timeInErrorState,allForagingTimes,shrinkRate,handlingTime,allJuiceAmounts,choiceTime,completeTime,trialErrors_error1,trialErrors_error2,monkey,file,date,session,trial_uid
4595,189,left,5,stay,yes,0.174,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5062582606915385,0.5062673017382622,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|189
4596,190,left,5,stay,yes,0.16099999999999998,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5063543432625011,0.5063634088728577,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|190
4597,191,left,5,stay,yes,0.14799999999999996,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5064016521209851,0.5064104419434443,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|191
4598,192,left,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5064812882337719,0.5065948395058513,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|192
4599,193,right,5,leave,no,0.0,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5067022814182565,0.5068163458490744,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|193
4600,194,left,5,stay,yes,0.2,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5068588072899729,0.506868154508993,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|194
4601,195,left,5,stay,yes,0.187,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5068972691660747,0.5069065686548129,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|195
4602,196,left,5,stay,yes,0.174,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5069283655611798,0.5069372649304569,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|196
4603,197,left,5,stay,yes,0.16099999999999998,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5069694255944341,0.5069787747925147,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|197
4604,198,left,5,stay,yes,0.14799999999999996,none,30,0.05,0.1,2147483647,1,3,5,65,0.4,"[0.2   0.187 0.174 0.161 0.148 0.135 0.122 0.109 0.096 0.083 0.07  0.057
 0.044 0.031 0.018 0.005 0.   ]",0.5070582485059276,0.5070676188915968,,,calvin,/Users/tomroper/Documents/Leaving Variability/Patch/calvin/C130401/C130401.2.C.mat,C130401,2,calvin|C130401|2|198
